127.0.0.1 - - [21/Jun/2023:05:57:02 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [21/Jun/2023:05:57:06 +0530] "GET /OTT-01/ HTTP/1.1" 200 15636
0:0:0:0:0:0:0:1 - - [21/Jun/2023:05:57:06 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [21/Jun/2023:05:57:25 +0530] "GET /OTT-01/ HTTP/1.1" 200 15636
0:0:0:0:0:0:0:1 - - [21/Jun/2023:05:57:30 +0530] "GET /OTT-01/ HTTP/1.1" 200 15636
0:0:0:0:0:0:0:1 - - [21/Jun/2023:05:57:38 +0530] "POST /OTT-01/user_login HTTP/1.1" 200 40
0:0:0:0:0:0:0:1 - - [21/Jun/2023:05:57:52 +0530] "GET /OTT-01/ HTTP/1.1" 200 15636
0:0:0:0:0:0:0:1 - - [21/Jun/2023:06:33:52 +0530] "GET /OTT-01/ HTTP/1.1" 200 15636
0:0:0:0:0:0:0:1 - - [21/Jun/2023:07:14:04 +0530] "GET /OTT-01/ HTTP/1.1" 200 15636
