127.0.0.1 - - [04/Jun/2023:02:45:05 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [04/Jun/2023:02:45:06 +0530] "GET /OTT-01/ HTTP/1.1" 200 1850
0:0:0:0:0:0:0:1 - - [04/Jun/2023:02:45:06 +0530] "GET /OTT-01/index.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jun/2023:02:45:07 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [04/Jun/2023:02:47:09 +0530] "GET /OTT-01/ HTTP/1.1" 200 1985
0:0:0:0:0:0:0:1 - - [04/Jun/2023:02:57:36 +0530] "GET /OTT-01/ HTTP/1.1" 200 2012
0:0:0:0:0:0:0:1 - - [04/Jun/2023:02:58:03 +0530] "GET /OTT-01/ HTTP/1.1" 200 2024
0:0:0:0:0:0:0:1 - - [04/Jun/2023:02:58:19 +0530] "GET /OTT-01/ HTTP/1.1" 200 2023
0:0:0:0:0:0:0:1 - - [04/Jun/2023:03:00:03 +0530] "GET /OTT-01/ HTTP/1.1" 200 2023
0:0:0:0:0:0:0:1 - - [04/Jun/2023:03:00:31 +0530] "GET /OTT-01/ HTTP/1.1" 200 2028
0:0:0:0:0:0:0:1 - - [04/Jun/2023:03:00:53 +0530] "GET /OTT-01/ HTTP/1.1" 200 2096
0:0:0:0:0:0:0:1 - - [04/Jun/2023:03:01:16 +0530] "GET /OTT-01/ HTTP/1.1" 200 2112
0:0:0:0:0:0:0:1 - - [04/Jun/2023:03:01:30 +0530] "GET /OTT-01/ HTTP/1.1" 200 2112
0:0:0:0:0:0:0:1 - - [04/Jun/2023:03:01:41 +0530] "GET /OTT-01/ HTTP/1.1" 200 2112
0:0:0:0:0:0:0:1 - - [04/Jun/2023:03:03:31 +0530] "GET /OTT-01/ HTTP/1.1" 200 2190
0:0:0:0:0:0:0:1 - - [04/Jun/2023:03:03:54 +0530] "GET /OTT-01/ HTTP/1.1" 200 2227
0:0:0:0:0:0:0:1 - - [04/Jun/2023:03:04:46 +0530] "GET /OTT-01/ HTTP/1.1" 200 2258
0:0:0:0:0:0:0:1 - - [04/Jun/2023:03:08:02 +0530] "GET /OTT-01/ HTTP/1.1" 200 2259
0:0:0:0:0:0:0:1 - - [04/Jun/2023:03:08:13 +0530] "GET /OTT-01/ HTTP/1.1" 200 2260
